{ methodName: 'PATCH', URL: '/bookmarks/5c493fd4cf8f2d2c28b5207c', statusCode: '200', responseSize: '-', responseTime: '40.905 ms', date: '2019-01-24T05:36:15.808Z', remoteAddress: '::1', remoteUser: '-' }
{ methodName: 'PATCH', URL: '/bookmarks/5c493fd4cf8f2d2c28b5207c', statusCode: '200', responseSize: '-', responseTime: '25.979 ms', date: '2019-01-24T05:37:29.207Z', remoteAddress: '::1', remoteUser: '-' }
{ methodName: 'PATCH', URL: '/bookmarks/5c493fd4cf8f2d2c28b5207c', statusCode: '200', responseSize: '-', responseTime: '26.700 ms', date: '2019-01-24T05:38:04.751Z', remoteAddress: '::1', remoteUser: '-' }
{ methodName: 'PATCH', URL: '/bookmarks/5c493fd4cf8f2d2c28b5207c', statusCode: '200', responseSize: '-', responseTime: '30.322 ms', date: '2019-01-24T05:39:10.200Z', remoteAddress: '::1', remoteUser: '-' }
{ methodName: 'PATCH', URL: '/bookmarks/5c493fd4cf8f2d2c28b5207c', statusCode: '200', responseSize: '-', responseTime: '31.232 ms', date: '2019-01-24T05:44:21.228Z', remoteAddress: '::1', remoteUser: '-' }
{ methodName: 'PATCH', URL: '/bookmarks/5c493fd4cf8f2d2c28b5207c', statusCode: '200', responseSize: '-', responseTime: '30.514 ms', date: '2019-01-24T05:45:23.515Z', remoteAddress: '::1', remoteUser: '-' }
{ methodName: 'GET', URL: '/bookmarks/Z1jMlRG', statusCode: '200', responseSize: '-', responseTime: '20.045 ms', date: '2019-01-24T05:46:35.381Z', remoteAddress: '::1', remoteUser: '-' }
{ methodName: 'GET', URL: '/bookmarks/5c493fd4cf8f2d2c28b5207c', statusCode: '200', responseSize: '-', responseTime: '31.784 ms', date: '2019-01-24T05:46:44.129Z', remoteAddress: '::1', remoteUser: '-' }
{ methodName: 'GET', URL: '/bookmarks/5c493fd4cf8f2d2c28b5207c', statusCode: '200', responseSize: '-', responseTime: '5.381 ms', date: '2019-01-24T05:49:03.319Z', remoteAddress: '::1', remoteUser: '-' }
{ methodName: 'PATCH', URL: '/bookmarks/5c493fd4cf8f2d2c28b5207c', statusCode: '200', responseSize: '-', responseTime: '32.466 ms', date: '2019-01-24T05:50:04.315Z', remoteAddress: '::1', remoteUser: '-' }
{ methodName: 'PATCH', URL: '/bookmarks/5c493fd4cf8f2d2c28b5207c', statusCode: '200', responseSize: '-', responseTime: '41.343 ms', date: '2019-01-24T05:51:58.487Z', remoteAddress: '::1', remoteUser: '-' }
{ methodName: 'PATCH', URL: '/bookmarks/5c493fd4cf8f2d2c28b5207c', statusCode: '200', responseSize: '-', responseTime: '25.469 ms', date: '2019-01-24T05:52:23.604Z', remoteAddress: '::1', remoteUser: '-' }
{ methodName: 'PATCH', URL: '/bookmarks/5c493fd4cf8f2d2c28b5207c', statusCode: '200', responseSize: '-', responseTime: '64.455 ms', date: '2019-01-24T05:52:59.204Z', remoteAddress: '::1', remoteUser: '-' }
{ methodName: 'GET', URL: '/hash/2bzymM', statusCode: '302', responseSize: '-', responseTime: '26.006 ms', date: '2019-01-24T05:56:27.578Z', remoteAddress: '::1', remoteUser: '-' }
{ methodName: 'PATCH', URL: '/bookmarks/5c493fd4cf8f2d2c28b5207c', statusCode: '200', responseSize: '-', responseTime: '36.290 ms', date: '2019-01-24T06:29:30.926Z', remoteAddress: '::1', remoteUser: '-' }
{ methodName: 'GET', URL: '/hash/Z17dlIT', statusCode: '302', responseSize: '-', responseTime: '32.749 ms', date: '2019-01-24T06:29:49.535Z', remoteAddress: '::1', remoteUser: '-' }
{ methodName: 'GET', URL: '/bookmarks/sdfjdgsf', statusCode: '200', responseSize: '-', responseTime: '21.650 ms', date: '2019-01-24T06:36:59.894Z', remoteAddress: '::1', remoteUser: '-' }
{ methodName: 'GET', URL: '/favicon.ico', statusCode: '404', responseSize: '-', responseTime: '7.362 ms', date: '2019-01-24T06:37:00.845Z', remoteAddress: '::1', remoteUser: '-' }
{ methodName: 'GET', URL: '/sdfjdgsf', statusCode: '404', responseSize: '-', responseTime: '1.347 ms', date: '2019-01-24T06:37:08.371Z', remoteAddress: '::1', remoteUser: '-' }
{ methodName: 'GET', URL: '/bookmarks/', statusCode: '200', responseSize: '-', responseTime: '28.917 ms', date: '2019-01-24T06:40:41.219Z', remoteAddress: '::1', remoteUser: '-' }
